product_id,product_name,category,price
1,Soundwave Earbuds,Electronics,149.0
2,EcoClip Binder Duo,Office Supplies,39.5
3,CashmereLuxe Scarf,Clothing & Accessories,149.5
4,FlexStep GO Fitness Tracker,Sports & Outdoors,99.5
5,LeashLock Basic Set,Pet Supplies,29.99
6,DreamWeaver Sleep Mask,Beauty & Health,34.75
7,ArtyBrush Acrylic Set,Arts & Crafts,59.95
8,DreamWeaver Sleep Mask,Beauty & Health,34.75
9,Velocity Lite Helmet,Sports & Outdoors,99.0
10,LeashLock Basic Set,Pet Supplies,29.99
11,EverBloom Mini Greenhouse,Home & Garden,29.95
12,DreamWeaver Sleep Mask,Beauty & Health,34.75
13,SolarZap Charger,Electronics,89.99
14,Velocity Lite Helmet,Sports & Outdoors,99.0
15,Velocity Lite Helmet,Sports & Outdoors,99.0
16,SolarZap Charger,Electronics,89.99
17,BloomTech Smart Pot,Home & Garden,199.99
18,Soundwave Earbuds,Electronics,149.0
19,CashmereLuxe Scarf,Clothing & Accessories,149.5
20,CashmereLuxe Scarf,Clothing & Accessories,149.5
21,Velocity Lite Helmet,Sports & Outdoors,99.0
22,EcoClip Binder Duo,Office Supplies,39.5
23,LeashLock Basic Set,Pet Supplies,29.99
24,FuzzyFriend Plushie,Toys & Games,24.5
25,Soundwave Earbuds,Electronics,149.0
26,SonicSmile Pro Brush,Beauty & Health,129.95
27,SolarZap Charger,Electronics,89.99
28,CashmereLuxe Scarf,Clothing & Accessories,149.5
29,EcoClip Binder Duo,Office Supplies,39.5
30,BloomTech Smart Pot,Home & Garden,199.99
31,DreamWeaver Sleep Mask,Beauty & Health,34.75
32,EverBloom Mini Greenhouse,Home & Garden,29.95
33,AquaShield Lite Rain Jacket,Clothing & Accessories,79.0
34,Soundwave Earbuds,Electronics,149.0
35,AquaShield Lite Rain Jacket,Clothing & Accessories,79.0
36,FuzzyFriend Plushie,Toys & Games,24.5
37,DreamWeaver Sleep Mask,Beauty & Health,34.75
38,EcoClip Binder Duo,Office Supplies,39.5
39,CashmereLuxe Scarf,Clothing & Accessories,149.5
40,AquaShield Lite Rain Jacket,Clothing & Accessories,79.0
41,CashmereLuxe Scarf,Clothing & Accessories,149.5
42,FuzzyFriend Plushie,Toys & Games,24.5
43,SonicSmile Pro Brush,Beauty & Health,129.95
44,FlexStep GO Fitness Tracker,Sports & Outdoors,99.5
45,LeashLock Basic Set,Pet Supplies,29.99
46,CashmereLuxe Scarf,Clothing & Accessories,149.5
47,SolarZap Charger,Electronics,89.99
48,EverBloom Mini Greenhouse,Home & Garden,29.95
49,TrailMixX Snack Pack,Food & Beverage,14.99
50,LeashLock Basic Set,Pet Supplies,29.99
51,FlexStep GO Fitness Tracker,Sports & Outdoors,99.5
52,FlexStep GO Fitness Tracker,Sports & Outdoors,99.5
53,BloomTech Smart Pot,Home & Garden,199.99
54,FlexStep GO Fitness Tracker,Sports & Outdoors,99.5
55,Velocity Lite Helmet,Sports & Outdoors,99.0
56,Soundwave Earbuds,Electronics,149.0
57,Soundwave Earbuds,Electronics,149.0
58,DreamWeaver Sleep Mask,Beauty & Health,34.75
59,Soundwave Earbuds,Electronics,149.0
60,FuzzyFriend Plushie,Toys & Games,24.5
61,TrailMixX Snack Pack,Food & Beverage,14.99
62,SonicSmile Pro Brush,Beauty & Health,129.95
63,LeashLock Basic Set,Pet Supplies,29.99
64,SonicSmile Pro Brush,Beauty & Health,129.95
65,LeashLock Basic Set,Pet Supplies,29.99
66,Soundwave Earbuds,Electronics,149.0
67,SonicSmile Pro Brush,Beauty & Health,129.95
